3,1,634.49,243.10,41.09,80.36,1.00,-1,-1
3,2,497.67,158.56,31.62,76.14,1.00,-1,-1
3,3,265.81,219.37,30.66,88.44,1.00,-1,-1
4,1,617.31,240.27,41.93,82.59,1.00,-1,-1
4,2,493.70,158.99,32.24,78.08,1.00,-1,-1
4,3,274.24,216.79,30.07,86.20,1.00,-1,-1
5,1,604.08,240.78,41.97,82.28,1.00,-1,-1
5,2,490.53,160.04,31.72,77.63,1.00,-1,-1
5,3,281.40,213.62,30.50,86.97,1.00,-1,-1
6,1,596.15,241.60,42.70,82.64,1.00,-1,-1
6,2,485.92,161.06,31.78,78.07,1.00,-1,-1
6,3,286.11,211.51,31.77,89.41,1.00,-1,-1
7,1,586.47,240.67,42.11,83.25,1.00,-1,-1
7,2,482.91,162.06,32.01,78.93,1.00,-1,-1
7,3,291.40,211.26,32.36,89.62,1.00,-1,-1
8,1,577.28,238.20,42.01,85.39,1.00,-1,-1
8,2,480.70,161.59,32.24,79.99,1.00,-1,-1
8,3,295.97,211.18,32.32,88.29,1.00,-1,-1
9,1,569.36,238.40,41.13,85.26,1.00,-1,-1
9,2,476.80,162.01,32.10,80.13,1.00,-1,-1
9,3,301.28,209.76,31.83,87.23,1.00,-1,-1
10,1,558.83,238.83,41.92,85.64,1.00,-1,-1
10,2,472.26,162.83,31.53,78.55,1.00,-1,-1
10,3,306.95,208.99,30.99,85.36,1.00,-1,-1
11,1,546.42,238.27,41.06,85.85,1.00,-1,-1
11,2,467.95,166.31,31.68,77.53,1.00,-1,-1
11,3,317.83,207.61,31.62,85.31,1.00,-1,-1
12,1,535.40,236.58,40.59,87.75,1.00,-1,-1
12,2,464.38,167.41,31.72,77.03,1.00,-1,-1
12,3,322.01,205.83,32.58,86.27,1.00,-1,-1
13,1,525.26,236.94,40.12,86.90,1.00,-1,-1
13,2,459.63,168.17,31.59,77.83,1.00,-1,-1
13,3,325.64,204.55,32.82,86.12,1.00,-1,-1
13,6,743.03,295.41,21.94,111.44,1.00,-1,-1
14,1,510.26,237.84,38.26,84.23,1.00,-1,-1
14,2,453.06,171.24,30.58,76.10,1.00,-1,-1
14,3,333.10,199.96,33.07,86.71,1.00,-1,-1
14,6,736.31,292.82,23.22,114.15,1.00,-1,-1
15,1,500.74,235.98,37.51,85.33,1.00,-1,-1
15,2,446.05,172.13,31.45,77.03,1.00,-1,-1
15,3,337.36,198.92,33.41,87.21,1.00,-1,-1
15,6,731.97,289.40,24.46,115.14,1.00,-1,-1
16,1,493.05,235.11,36.57,85.47,1.00,-1,-1
16,2,442.43,171.90,32.37,77.92,1.00,-1,-1
16,3,341.90,199.02,33.27,86.37,1.00,-1,-1
16,6,727.87,285.76,24.93,111.95,1.00,-1,-1
17,1,482.81,235.82,36.77,84.75,1.00,-1,-1
17,2,438.69,173.35,31.19,76.79,1.00,-1,-1
17,3,346.34,196.80,33.08,85.85,1.00,-1,-1
17,6,724.14,282.11,25.41,110.15,1.00,-1,-1
18,1,473.58,235.65,37.19,84.36,1.00,-1,-1
18,2,432.65,173.67,31.36,78.63,1.00,-1,-1
18,3,353.45,194.48,32.72,84.03,1.00,-1,-1
18,6,716.99,279.78,25.92,109.23,1.00,-1,-1
19,1,463.53,234.49,36.21,83.73,1.00,-1,-1
19,2,432.78,174.24,23.74,57.50,1.00,-1,-1
19,3,359.65,193.99,33.41,83.29,1.00,-1,-1
19,6,707.74,279.05,27.49,109.41,1.00,-1,-1
19,10,745.98,277.49,15.11,103.78,1.00,-1,-1
20,1,454.87,233.34,35.36,83.74,1.00,-1,-1
20,3,363.42,193.25,34.17,83.34,1.00,-1,-1
20,6,703.91,276.56,28.31,109.00,1.00,-1,-1
20,10,742.37,275.60,15.83,103.38,1.00,-1,-1
21,1,442.87,233.01,35.56,82.67,1.00,-1,-1
21,3,365.83,192.24,34.25,82.56,1.00,-1,-1
21,6,693.33,272.78,28.15,105.29,1.00,-1,-1
21,10,735.33,272.05,15.75,98.68,1.00,-1,-1
22,1,434.55,231.14,35.72,84.83,1.00,-1,-1
22,3,366.80,190.86,34.84,83.74,1.00,-1,-1
22,6,685.10,270.27,29.14,105.40,1.00,-1,-1
22,10,729.10,269.46,16.53,98.40,1.00,-1,-1
23,1,427.32,229.08,34.84,84.01,1.00,-1,-1
23,3,367.03,190.45,34.21,82.79,1.00,-1,-1
23,6,678.15,268.52,30.25,105.82,1.00,-1,-1
23,10,722.27,267.66,18.11,99.82,1.00,-1,-1
24,1,409.16,190.51,49.17,119.76,1.00,-1,-1
24,3,368.78,188.26,33.81,83.11,1.00,-1,-1
24,6,669.69,265.50,31.22,106.27,1.00,-1,-1
24,10,713.88,265.85,18.89,97.35,1.00,-1,-1
25,3,370.08,187.82,32.97,82.33,1.00,-1,-1
25,6,664.40,261.74,31.19,104.42,1.00,-1,-1
25,10,705.06,260.59,20.12,98.53,1.00,-1,-1
26,3,370.57,185.46,32.98,83.97,1.00,-1,-1
26,6,660.79,259.05,30.89,102.35,1.00,-1,-1
26,10,698.82,257.95,21.45,98.10,1.00,-1,-1
26,11,391.81,178.01,21.52,80.03,1.00,-1,-1
27,3,371.98,185.51,32.53,84.15,1.00,-1,-1
27,6,656.85,257.61,30.96,102.40,1.00,-1,-1
27,10,693.47,257.14,23.00,98.38,1.00,-1,-1
27,11,382.48,177.08,24.90,90.79,1.00,-1,-1
28,3,373.69,182.14,33.51,86.80,1.00,-1,-1
28,6,648.43,257.49,31.98,102.10,1.00,-1,-1
28,10,688.93,255.91,24.58,99.37,1.00,-1,-1
29,1,388.81,188.63,45.11,115.09,1.00,-1,-1
29,3,375.77,179.63,33.90,87.57,1.00,-1,-1
29,6,642.87,256.22,31.87,100.19,1.00,-1,-1
29,10,681.46,253.17,24.59,96.84,1.00,-1,-1
30,1,391.33,193.61,40.46,107.04,1.00,-1,-1
30,3,376.91,178.72,33.80,87.05,1.00,-1,-1
30,6,635.46,253.77,32.44,99.99,1.00,-1,-1
30,10,675.31,250.58,24.77,96.34,1.00,-1,-1
31,3,377.85,178.77,32.90,84.67,1.00,-1,-1
31,6,629.74,251.76,33.19,100.89,1.00,-1,-1
31,10,669.20,248.66,25.22,95.35,1.00,-1,-1
32,3,378.69,178.64,32.54,84.40,1.00,-1,-1
32,6,622.03,249.96,34.00,100.99,1.00,-1,-1
32,10,661.04,247.24,26.32,94.97,1.00,-1,-1
33,3,379.07,178.51,32.94,85.79,1.00,-1,-1
33,6,616.40,248.34,34.63,100.54,1.00,-1,-1
33,10,654.85,247.37,26.72,92.64,1.00,-1,-1
34,1,383.67,180.43,42.27,110.80,1.00,-1,-1
34,2,371.82,179.10,31.09,81.94,1.00,-1,-1
34,3,378.91,178.19,32.16,84.77,1.00,-1,-1
34,6,611.24,245.71,34.96,100.01,1.00,-1,-1
34,10,646.72,243.26,27.37,94.46,1.00,-1,-1
34,11,386.58,180.25,23.72,83.76,1.00,-1,-1
35,1,379.99,178.95,38.01,100.08,1.00,-1,-1
35,2,370.96,179.01,29.76,82.87,1.00,-1,-1
35,3,379.00,177.67,32.30,85.37,1.00,-1,-1
35,6,606.50,243.33,35.18,99.33,1.00,-1,-1
35,10,641.45,241.09,27.69,95.07,1.00,-1,-1
35,11,388.84,181.90,24.67,86.58,1.00,-1,-1
36,2,371.37,178.54,28.37,81.79,1.00,-1,-1
36,6,603.06,241.35,35.22,99.35,1.00,-1,-1
36,10,636.35,240.36,28.23,95.11,1.00,-1,-1
36,11,390.48,180.14,24.02,84.81,1.00,-1,-1
37,2,371.83,178.23,28.29,81.50,1.00,-1,-1
37,6,594.95,239.97,35.03,97.35,1.00,-1,-1
37,10,628.81,239.26,29.01,95.55,1.00,-1,-1
37,11,393.49,181.42,22.53,78.96,1.00,-1,-1
38,1,389.71,180.13,30.50,81.52,1.00,-1,-1
38,2,372.13,178.45,28.36,81.34,1.00,-1,-1
38,6,591.11,239.18,35.22,96.30,1.00,-1,-1
38,10,623.26,237.86,29.09,93.98,1.00,-1,-1
38,11,393.46,182.81,22.66,80.22,1.00,-1,-1
39,1,392.70,181.20,29.82,80.69,1.00,-1,-1
39,2,372.22,178.37,28.49,81.43,1.00,-1,-1
39,6,585.37,237.74,34.82,95.70,1.00,-1,-1
39,10,615.69,235.21,29.50,95.06,1.00,-1,-1
39,11,393.67,183.35,22.50,80.48,1.00,-1,-1
40,1,394.11,181.78,29.40,80.37,1.00,-1,-1
40,2,373.26,178.06,28.49,80.95,1.00,-1,-1
40,6,575.20,235.35,34.86,95.50,1.00,-1,-1
40,10,607.66,233.81,29.18,92.72,1.00,-1,-1
40,11,394.64,184.08,22.08,79.82,1.00,-1,-1
41,1,394.35,182.48,28.52,79.47,1.00,-1,-1
41,2,373.07,178.24,27.97,80.65,1.00,-1,-1
41,6,568.24,234.17,35.48,96.25,1.00,-1,-1
41,10,602.63,232.10,29.54,92.21,1.00,-1,-1
